Trip ID,Destination,Start date,End date,Duration (days),Traveler name,Traveler age,Traveler gender,Traveler nationality,Accommodation type,Accommodation cost,Transportation type,Transportation cost,About City,Weather,Continent,Type of City,Type of Tourism
251,Venice,1/1/2025,1/8/2025,7,Emma Watson 251,32,Female,British,Resort,700 USD,Flight,800 USD,"Phuket, Thai is a renowned city known for its vibrant culture and rich history.",Hot,Africa,Coastal,Sports
252,Fes,4/15/2025,4/22/2025,7,James Kim 252,41,Male,American,Hotel,100,Flight,,"Rome, Italy is a renowned city known for its vibrant culture and rich history.",Rainy,Australia,Desert,Cultural
253,Athens,11/23/2022,12/2/2022,9,David Lee 253,45,Male,South Korea,Hostel,$200 ,Flight,"$1,200 ",Sydney is a renowned city known for its vibrant culture and rich history.,Cold,Europe,Urban,Therapeutic
254,Phuket,1/6/2024,1/14/2024,8,Maria Garcia 254,27,Female,Spain,Airbnb,$500 ,Flight,"$1,500 ",Cape Town is a renowned city known for its vibrant culture and rich history.,Moisture,Asia,Rural,Recreational
255,Bali,7/22/2024,7/28/2024,6,Olivia Kim 255,29,Female,South Korea,Villa,"$1,200 ",Flight,"$1,000 ",Bali is a renowned city known for its vibrant culture and rich history.,Dry,North America,Archaeological,Religious
256,Rio de Janeiro,2/5/2022,2/14/2022,9,Alice Smith 256,32,Female,American,Hotel,1000,Flight,700,"Tokyo, Japan’s busy capital, mixes the ultramodern and the traditional, from neon-lit skyscrapers to historic temples.",Hot,South America,Coastal,Archaeological
257,Cancun,3/15/2022,3/22/2022,7,Bob Johnson 257,47,Male,Canadian,Hotel,1200,Flight,500,"Paris, France is a renowned city known for its vibrant culture and rich history.",Rainy,Africa,Desert,Environmental
258,Honolulu,5/1/2022,5/12/2022,11,Cindy Chen 258,26,Female,Chinese,Airbnb,800,Flight,1000,"Sydney, Aus is a renowned city known for its vibrant culture and rich history.",Cold,Australia,Urban,Sports
259,Hawaii,6/10/2022,6/17/2022,7,David Lee 259,38,Male,Korean,Hotel,900,Flight,400,"Rome, Italy is a renowned city known for its vibrant culture and rich history.",Moisture,Europe,Rural,Cultural
260,Australia,7/20/2022,7/30/2022,10,Emily Kim 260,29,Female,Korean,Hostel,500,Flight,800,"Bali is a popular travel destination known for its forested volcanic mountains, iconic rice paddies, beaches and coral reefs.",Dry,Asia,Archaeological,Therapeutic
261,New York City,8/8/2022,8/16/2022,8,Frank Li 261,41,Male,American,Hotel,1300,Flight,600,"Cancun is known for its beaches, numerous resorts, and nightlife.",Hot,North America,Coastal,Recreational
262,Zurich,9/20/2022,9/30/2022,10,Gina Lee 262,35,Female,Korean,Airbnb,700,Flight,900,"Athens, Greece is a renowned city known for its vibrant culture and rich history.",Rainy,South America,Desert,Religious
263,Hamburg,10/5/2022,10/13/2022,8,Henry Kim 263,24,Male,Korean,Hotel,1200,Flight,700,"Tokyo, Japan’s busy capital, mixes the ultramodern and the traditional, from neon-lit skyscrapers to historic temples.",Cold,Africa,Urban,Archaeological
264,Frankfurt,11/11/2022,11/21/2022,10,Isabella Chen 264,30,Female,Chinese,Airbnb,900,Flight,1000,"Sydney, Aus is a renowned city known for its vibrant culture and rich history.",Moisture,Australia,Rural,Environmental
265,Abu Dhabi,12/24/2022,1/1/2023,8,Jack Smith 265,28,Male,American,Hostel,400,Flight,700,"Paris, France is a renowned city known for its vibrant culture and rich history.",Dry,Europe,Archaeological,Sports
266,Kuala Lumpur,2/10/2023,2/18/2023,8,Katie Johnson 266,33,Female,Canadian,Hotel,800,Flight,800,"Bali is a popular travel destination known for its forested volcanic mountains, iconic rice paddies, beaches and coral reefs.",Hot,Asia,Coastal,Cultural
267,Bratislava,5/1/2023,5/7/2023,6,John Doe 267,35,Male,American,Hotel,5000,Flight,2500,"Paris, France is a renowned city known for its vibrant culture and rich history.",Rainy,North America,Desert,Therapeutic
268,Lyon,5/15/2023,5/22/2023,7,Jane Smith 268,28,Female,British,Airbnb,7000,Flight,1500,"Tokyo, Japan’s busy capital, mixes the ultramodern and the traditional, from neon-lit skyscrapers to historic temples.",Cold,South America,Urban,Recreational
269,Geneva,6/1/2023,6/10/2023,9,Michael Johnson 269,45,Male,South African,Hostel,3000,Flight,2000,"Cape Town, South Africa is a renowned city known for its vibrant culture and rich history.",Moisture,Africa,Rural,Religious
270,Naples,6/15/2023,6/21/2023,6,Sarah Lee 270,31,Female,Australian,Hotel,6000,Flight,3000,"Sydney, Australia is a renowned city known for its vibrant culture and rich history.",Dry,Australia,Archaeological,Archaeological
271,Valencia,7/1/2023,7/8/2023,7,David Kim 271,42,Male,Korean,Airbnb,4000,Flight,1500,"Rome, Italy is a renowned city known for its vibrant culture and rich history.",Hot,Europe,Coastal,Environmental
272,Salzburg,7/15/2023,7/22/2023,7,Emily Davis 272,27,Female,American,Hotel,8000,Flight,2500,"New York City, USA is a renowned city known for its vibrant culture and rich history.",Rainy,Asia,Desert,Sports
273,Split,8/1/2023,8/10/2023,9,Jose Perez 273,37,Male,Brazilian,Hostel,2500,Flight,2000,"Rio de Janeiro, Brazil is a renowned city known for its vibrant culture and rich history.",Cold,North America,Urban,Cultural
274,Rabat,8/15/2023,8/21/2023,6,Emma Wilson 274,29,Female,Canadian,Hotel,5000,Flight,3000,"Vancouver, Canada is a renowned city known for its vibrant culture and rich history.",Moisture,South America,Rural,Therapeutic
275,Giza,9/1/2023,9/8/2023,7,Ryan Chen 275,34,Male,Chinese,Hostel,2000,Flight,1000,"Bangkok, Thailand is a renowned city known for its vibrant culture and rich history.",Dry,Africa,Archaeological,Recreational
276,Jerusalem,9/15/2023,9/22/2023,7,Sofia Rodriguez 276,25,Female,Spanish,Airbnb,6000,Flight,2500,"Barcelona, the cosmopolitan capital of Spain’s Catalonia region, is known for its art and architecture.",Hot,Australia,Coastal,Religious
277,Bordeaux,10/1/2023,10/8/2023,7,William Brown 277,39,Male,New Zealander,Hotel,7000,Flight,2500,"Auckland, based around 2 large harbours, is a major city in the north of New Zealand’s North Island.",Rainy,Europe,Desert,Archaeological
278,Marseille,5/1/2023,5/8/2023,7,John Smith 278,35,Male,American,Hotel,1200,Flight,600,"London, the capital of England and the United Kingdom, is a 21st-century city with history stretching back to Roman times.",Cold,Asia,Urban,Environmental
279,Athens,6/15/2023,6/20/2023,5,Jane Doe 279,28,Female,Canadian,Resort,800,Flight,500,"Phuket is among the world’s finest beach destinations, with fine white sands, nodding palm trees, glittering seas and lively towns.",Moisture,North America,Rural,Sports
280,Thessaloniki,7/1/2023,7/8/2023,7,David Lee 280,45,Male,Korean,Villa,1000,Flight,700,"Bali is a popular travel destination known for its forested volcanic mountains, iconic rice paddies, beaches and coral reefs.",Dry,South America,Archaeological,Cultural
281,Krakow,8/15/2023,8/29/2023,14,Sarah Johnson 281,29,Female,British,Hotel,2000,Flight,1000,"New York City comprises 5 boroughs sitting where the Hudson River meets the Atlantic Ocean, with iconic sites like the Empire State Building and Central Park.",Hot,Africa,Coastal,Therapeutic
282,Gdansk,9/10/2023,9/17/2023,7,Kim Nguyen 282,26,Female,Vietnamese,Airbnb,700,Flight,200,"Tokyo, Japan’s busy capital, mixes the ultramodern and the traditional, from neon-lit skyscrapers to historic temples.",Rainy,Australia,Desert,Recreational
283,Malaga,10/5/2023,10/10/2023,5,Michael Brown 283,42,Male,American,Hotel,1500,Flight,800,"Paris, France is a renowned city known for its vibrant culture and rich history.",Cold,Europe,Urban,Religious
284,Granada,11/20/2023,11/30/2023,10,Emily Davis 284,33,Female,Australian,Hostel,500,Flight,1200,"Sydney, Australia is a renowned city known for its vibrant culture and rich history.",Moisture,Asia,Rural,Archaeological
285,Bilbao,1/5/2024,1/12/2024,7,Lucas Santos 285,25,Male,Brazilian,Airbnb,900,Flight,600,"Rio de Janeiro, Brazil is a renowned city known for its vibrant culture and rich history.",Dry,North America,Archaeological,Environmental
286,Doha,2/14/2024,2/21/2024,7,Laura Janssen 286,31,Female,Dutch,Hotel,1200,Flight,200,"Amsterdam, Netherlands is a renowned city known for its vibrant culture and rich history.",Hot,South America,Coastal,Sports
287,Muscat,3/10/2024,3/17/2024,7,Mohammed Ali 287,39,Male,Emirati,Resort,2500,Flight,800,"Dubai, United Arab Emirates is a renowned city known for its vibrant culture and rich history.",Rainy,Africa,Desert,Cultural
288,Kuwait City,4/1/2024,4/8/2024,7,Ana Hernandez 288,27,Female,Mexican,Hotel,1000,Flight,500,"Cancun is known for its beaches, numerous resorts, and nightlife.",Cold,Australia,Urban,Therapeutic
289,Manama,5/15/2024,5/22/2024,7,Carlos Garcia 289,36,Male,Spanish,Airbnb,800,Flight,100,"Barcelona, the cosmopolitan capital of Spain’s Catalonia region, is known for its art and architecture.",Moisture,Europe,Rural,Recreational
290,Nairobi,6/10/2024,6/18/2024,8,Lily Wong 290,29,Female,Chinese,Resort,3000,Flight,1200,"Honolulu, Hawaii is a renowned city known for its vibrant culture and rich history.",Dry,Asia,Archaeological,Religious
291,Dar es Salaam,7/1/2024,7/10/2024,9,Hans Mueller 291,48,Male,German,Hotel,1400,Flight,700,"Berlin, Germany is a renowned city known for its vibrant culture and rich history.",Hot,North America,Coastal,Archaeological
292,Victoria,8/20/2024,8/27/2024,7,Fatima Khouri 292,26,Female,Moroccan,Riad,600,Flight,400,"Marrakech, Morocco is a renowned city known for its vibrant culture and rich history.",Rainy,South America,Desert,Environmental
293,Addis Ababa,9/5/2024,9/12/2024,7,James MacKenzie 293,32,Male,Scottish,Hotel,900,Flight,150,"Edinburgh, Scotland is a renowned city known for its vibrant culture and rich history.",Cold,Africa,Urban,Sports
294,Cairo,8/15/2023,8/25/2023,10,Michael Chang 294,28,Male,Chinese,Resort,"$1,500 ",Flight,$700 ,Bali is a renowned city known for its vibrant culture and rich history.,Moisture,Australia,Rural,Cultural
295,Alexandria,7/22/2023,7/28/2023,6,Olivia Rodriguez 295,35,Female,British,Hotel,"$1,200 ",Flight,$150 ,London is a renowned city known for its vibrant culture and rich history.,Dry,Europe,Archaeological,Therapeutic
296,Dakar,10/11/2023,10/15/2023,4,Traveler 6 296,29,Male,British,Airbnb,797,Train,1409,"Tokyo, Japan’s busy capital, mixes the ultramodern and the traditional, from neon-lit skyscrapers to historic temples.",Hot,Asia,Coastal,Recreational
297,Luanda,3/13/2023,3/16/2023,3,Traveler 7 297,37,Male,Japanese,Hostel,1033,Car Rental,934,"Berlin, Germany is a renowned city known for its vibrant culture and rich history.",Rainy,North America,Desert,Religious
298,Antananarivo,10/7/2023,10/18/2023,11,Traveler 8 298,57,Female,Chinese,Hotel,1827,Train,720,"Phuket is among the world’s finest beach destinations, with fine white sands, nodding palm trees, glittering seas and lively towns.",Cold,South America,Urban,Archaeological
299,Nouakchott,4/18/2023,4/26/2023,8,Traveler 9 299,23,Female,Japanese,Resort,1599,Bus,645,"Sydney, Australia is a renowned city known for its vibrant culture and rich history.",Moisture,Africa,Rural,Environmental
300,Tripoli,3/28/2023,4/6/2023,9,Traveler 10 300,49,Female,Australian,Villa,1945,Train,673,"Phuket is among the world’s finest beach destinations, with fine white sands, nodding palm trees, glittering seas and lively towns.",Dry,Australia,Archaeological,Sports
301,Tashkent,4/17/2023,4/30/2023,13,Traveler 11 301,54,Male,Chinese,Hotel,256,Train,1167,"Sydney, Aus is a renowned city known for its vibrant culture and rich history.",Hot,Europe,Coastal,Cultural
302,Yerevan,7/11/2023,7/21/2023,10,Traveler 12 302,57,Female,Chinese,Villa,1420,Car Rental,627,"Bali is a popular travel destination known for its forested volcanic mountains, iconic rice paddies, beaches and coral reefs.",Rainy,Asia,Desert,Therapeutic
303,Baku,3/1/2023,3/7/2023,6,Traveler 13 303,24,Male,Japanese,Hostel,649,Car Rental,453,"New York City, USA is a renowned city known for its vibrant culture and rich history.",Cold,North America,Urban,Recreational
304,Nur-Sultan,2/21/2023,3/6/2023,13,Traveler 14 304,37,Female,Chinese,Hotel,1053,Train,359,"Edinburgh, Scotland is a renowned city known for its vibrant culture and rich history.",Moisture,South America,Rural,Religious
305,Ulaanbaatar,5/13/2023,5/26/2023,13,Traveler 15 305,51,Male,Japanese,Airbnb,60,Car Rental,226,"Phuket, Thai is a renowned city known for its vibrant culture and rich history.",Dry,Africa,Archaeological,Archaeological
306,Hanoi,9/27/2023,10/5/2023,8,Traveler 16 306,68,Male,Australian,Hotel,925,Train,705,"Cancun is known for its beaches, numerous resorts, and nightlife.",Hot,Australia,Coastal,Environmental
307,Phnom Penh,8/11/2023,8/15/2023,4,Traveler 17 307,37,Male,British,Hostel,746,Flight,1075,"Auckland, based around 2 large harbours, is a major city in the north of New Zealand’s North Island.",Rainy,Europe,Desert,Sports
308,Vientiane,1/20/2023,1/22/2023,2,Traveler 18 308,54,Female,Australian,Hotel,718,Train,579,"Phuket is among the world’s finest beach destinations, with fine white sands, nodding palm trees, glittering seas and lively towns.",Cold,Asia,Urban,Cultural
309,Yangon,7/16/2023,7/23/2023,7,Traveler 19 309,23,Male,Australian,Hotel,805,Flight,301,"Auckland, based around 2 large harbours, is a major city in the north of New Zealand’s North Island.",Moisture,North America,Rural,Therapeutic
310,Chennai,5/24/2023,6/6/2023,13,Traveler 20 310,39,Male,British,Hotel,1431,Flight,91,"Cape Town, SA is a renowned city known for its vibrant culture and rich history.",Dry,South America,Archaeological,Recreational
311,Bangalore,9/7/2023,9/12/2023,5,Traveler 21 311,62,Male,American,Hotel,789,Flight,750,"Seoul, South Korea is a renowned city known for its vibrant culture and rich history.",Hot,Africa,Coastal,Religious
312,Hyderabad,1/21/2023,1/24/2023,3,Traveler 22 312,60,Female,British,Hotel,168,Bus,1241,Hawaii is a renowned city known for its vibrant culture and rich history.,Rainy,Australia,Desert,Archaeological
313,Ahmedabad,10/3/2023,10/15/2023,12,Traveler 23 313,40,Male,Australian,Airbnb,1732,Flight,978,"Seoul, South Korea is a renowned city known for its vibrant culture and rich history.",Cold,Europe,Urban,Environmental
314,Pune,10/16/2023,10/19/2023,3,Traveler 24 314,65,Male,Canadian,Hostel,608,Train,1123,"Honolulu, Hawaii is a renowned city known for its vibrant culture and rich history.",Moisture,Asia,Rural,Sports
315,Alexandria,5/20/2023,5/29/2023,9,Traveler 25 315,65,Male,Canadian,Resort,1477,Bus,787,"Rio de Janeiro, Brazil is a renowned city known for its vibrant culture and rich history.",Dry,North America,Archaeological,Cultural
316,Cairo,5/13/2023,5/20/2023,7,Traveler 26 316,68,Female,Chinese,Hostel,1064,Flight,599,"Los Angeles, USA is a renowned city known for its vibrant culture and rich history.",Hot,South America,Coastal,Therapeutic
317,Luxor,3/5/2023,3/18/2023,13,Traveler 27 317,54,Male,Chinese,Airbnb,269,Flight,605,"Berlin, Germany is a renowned city known for its vibrant culture and rich history.",Rainy,Africa,Desert,Recreational
318,Sharm El-Sheikh,10/6/2023,10/17/2023,11,Traveler 28 318,34,Female,Canadian,Airbnb,1424,Train,264,"Edinburgh, Scotland is a renowned city known for its vibrant culture and rich history.",Cold,Australia,Urban,Religious
319,Aswan,1/29/2023,1/30/2023,1,Traveler 29 319,61,Female,Canadian,Resort,1956,Train,1408,"Vancouver, Canada is a renowned city known for its vibrant culture and rich history.",Moisture,Europe,Rural,Archaeological
320,Sao Paulo,6/20/2023,7/3/2023,13,Traveler 30 320,30,Male,Chinese,Hotel,488,Train,616,Sydney is a renowned city known for its vibrant culture and rich history.,Dry,Asia,Archaeological,Environmental
321,Paris,2/20/2023,2/24/2023,4,Traveler 31 321,61,Female,Canadian,Resort,1751,Train,427,Australia is a renowned city known for its vibrant culture and rich history.,Hot,North America,Coastal,Sports
322,Mexico City,8/3/2023,8/5/2023,2,Traveler 32 322,70,Male,British,Resort,444,Car Rental,447,"Phuket, Thai is a renowned city known for its vibrant culture and rich history.",Rainy,South America,Desert,Cultural
323,Dubai,3/22/2023,3/31/2023,9,Traveler 33 323,67,Male,Chinese,Airbnb,263,Bus,81,Bali is a renowned city known for its vibrant culture and rich history.,Cold,Africa,Urban,Therapeutic
324,New York,6/8/2023,6/15/2023,7,Traveler 34 324,42,Female,Japanese,Resort,1816,Train,734,"Vancouver, Canada is a renowned city known for its vibrant culture and rich history.",Moisture,Australia,Rural,Recreational
325,Los Angeles,9/27/2023,10/6/2023,9,Traveler 35 325,53,Female,American,Hostel,1254,Train,585,"Dubai, United Arab Emirates is a renowned city known for its vibrant culture and rich history.",Dry,Europe,Archaeological,Religious
326,Toronto,10/27/2023,11/2/2023,6,Traveler 36 326,62,Female,Chinese,Resort,1193,Flight,1430,Sydney is a renowned city known for its vibrant culture and rich history.,Hot,Asia,Coastal,Archaeological
327,Tokyo,7/21/2023,7/26/2023,5,Traveler 37 327,49,Male,Australian,Hotel,982,Car Rental,1260,"Bangkok, Thai is a renowned city known for its vibrant culture and rich history.",Rainy,North America,Desert,Environmental
328,London,4/9/2023,4/10/2023,1,Traveler 38 328,42,Female,Japanese,Airbnb,1861,Car Rental,436,"Los Angeles, USA is a renowned city known for its vibrant culture and rich history.",Cold,South America,Urban,Sports
329,Rome,3/18/2023,3/27/2023,9,Traveler 39 329,62,Female,Japanese,Resort,1788,Flight,51,Paris is a renowned city known for its vibrant culture and rich history.,Moisture,Africa,Rural,Cultural
330,Moscow,3/24/2023,4/4/2023,11,Traveler 40 330,61,Female,Chinese,Hotel,1213,Car Rental,1315,Sydney is a renowned city known for its vibrant culture and rich history.,Dry,Australia,Archaeological,Therapeutic
331,Buenos Aires,1/20/2023,1/26/2023,6,Traveler 41 331,51,Female,Australian,Hostel,1602,Flight,558,"Sydney, Aus is a renowned city known for its vibrant culture and rich history.",Hot,Europe,Coastal,Recreational
332,Bangkok,1/16/2023,1/21/2023,5,Traveler 42 332,23,Male,Australian,Hotel,1977,Bus,1050,Bali is a renowned city known for its vibrant culture and rich history.,Rainy,Asia,Desert,Religious
333,Berlin,4/7/2023,4/8/2023,1,Traveler 43 333,37,Male,Chinese,Airbnb,1419,Bus,322,"Cape Town, South Africa is a renowned city known for its vibrant culture and rich history.",Cold,North America,Urban,Archaeological
334,Singapore,2/19/2023,2/26/2023,7,Traveler 44 334,64,Male,American,Resort,1706,Flight,267,"Los Angeles, USA is a renowned city known for its vibrant culture and rich history.",Moisture,South America,Rural,Environmental
335,Sydney,8/2/2023,8/9/2023,7,Traveler 45 335,26,Female,American,Hotel,129,Train,969,"Sydney, Aus is a renowned city known for its vibrant culture and rich history.",Dry,Africa,Archaeological,Sports
336,Madrid,4/24/2023,5/5/2023,11,Traveler 46 336,40,Female,American,Hostel,870,Train,260,Bali is a renowned city known for its vibrant culture and rich history.,Hot,Australia,Coastal,Cultural
337,Cape Town,5/30/2023,6/12/2023,13,Traveler 47 337,30,Female,Canadian,Hostel,813,Bus,994,Barcelona is a renowned city known for its vibrant culture and rich history.,Rainy,Europe,Desert,Therapeutic
338,Istanbul,8/10/2023,8/21/2023,11,Traveler 48 338,21,Female,British,Villa,70,Flight,1079,"Honolulu, Hawaii is a renowned city known for its vibrant culture and rich history.",Cold,Asia,Urban,Recreational
339,Hong Kong,3/17/2023,3/21/2023,4,Traveler 49 339,43,Male,British,Resort,795,Flight,272,"Vancouver, Canada is a renowned city known for its vibrant culture and rich history.",Moisture,North America,Rural,Religious
340,Muscat,3/26/2023,3/27/2023,1,Traveler 50 340,18,Female,Australian,Villa,1399,Flight,1310,Sydney is a renowned city known for its vibrant culture and rich history.,Dry,South America,Archaeological,Archaeological
341,Ho Chi Minh City,10/18/2023,10/23/2023,5,Traveler 51 341,48,Male,American,Airbnb,1477,Car Rental,568,Paris is a renowned city known for its vibrant culture and rich history.,Hot,Africa,Coastal,Environmental
342,Nice,3/24/2023,3/31/2023,7,Traveler 52 342,35,Female,British,Hostel,384,Flight,754,"New York City, USA is a renowned city known for its vibrant culture and rich history.",Rainy,Australia,Desert,Sports
343,Tunis,9/3/2023,9/16/2023,13,Traveler 53 343,23,Male,Australian,Hostel,572,Flight,1271,"Phuket, Thai is a renowned city known for its vibrant culture and rich history.",Cold,Europe,Urban,Cultural
344,Stockholm,3/30/2023,4/12/2023,13,Traveler 54 344,29,Female,British,Resort,1473,Bus,289,Sydney is a renowned city known for its vibrant culture and rich history.,Moisture,Asia,Rural,Therapeutic
345,Lisbon,6/4/2023,6/15/2023,11,Traveler 55 345,48,Female,Japanese,Hostel,1876,Train,367,"Cape Town, SA is a renowned city known for its vibrant culture and rich history.",Dry,North America,Archaeological,Recreational
346,Prague,8/9/2023,8/17/2023,8,Traveler 56 346,37,Female,Japanese,Hostel,1339,Train,603,"Bali is a popular travel destination known for its forested volcanic mountains, iconic rice paddies, beaches and coral reefs.",Hot,South America,Coastal,Religious
347,San Salvador,4/27/2023,5/7/2023,10,Traveler 57 347,56,Female,Australian,Airbnb,91,Bus,1327,"Cancun is known for its beaches, numerous resorts, and nightlife.",Rainy,Africa,Desert,Archaeological
348,Miami,6/21/2023,6/27/2023,6,Traveler 58 348,18,Female,British,Hostel,1717,Bus,333,Cape Town is a renowned city known for its vibrant culture and rich history.,Cold,Australia,Urban,Environmental
349,Brussels,9/3/2023,9/13/2023,10,Traveler 59 349,60,Female,American,Resort,759,Bus,394,"Sydney, Aus is a renowned city known for its vibrant culture and rich history.",Moisture,Europe,Rural,Sports
350,Johannesburg,5/22/2023,6/3/2023,12,Traveler 60 350,21,Male,Japanese,Hotel,1138,Bus,600,"Paris, France is a renowned city known for its vibrant culture and rich history.",Dry,Asia,Archaeological,Cultural
351,Budapest,9/28/2023,9/29/2023,1,Traveler 61 351,38,Female,Chinese,Resort,1592,Bus,352,"Auckland, based around 2 large harbours, is a major city in the north of New Zealand’s North Island.",Hot,North America,Coastal,Therapeutic
352,Kigali,10/12/2023,10/16/2023,4,Traveler 62 352,63,Male,British,Hostel,403,Car Rental,1231,Australia is a renowned city known for its vibrant culture and rich history.,Rainy,South America,Desert,Recreational
353,Vienna,1/10/2023,1/22/2023,12,Traveler 63 353,60,Female,British,Villa,1817,Flight,1386,"Auckland, based around 2 large harbours, is a major city in the north of New Zealand’s North Island.",Cold,Africa,Urban,Religious
354,Porto,4/29/2023,5/10/2023,11,Traveler 64 354,53,Male,American,Airbnb,977,Flight,864,"Phuket, Thai is a renowned city known for its vibrant culture and rich history.",Moisture,Australia,Rural,Archaeological
355,Beijing,7/4/2023,7/15/2023,11,Traveler 65 355,52,Female,Canadian,Hotel,849,Flight,759,"Sydney, Australia is a renowned city known for its vibrant culture and rich history.",Dry,Europe,Archaeological,Environmental
356,Riyadh,9/1/2023,9/12/2023,11,Traveler 66 356,34,Female,American,Hotel,1935,Car Rental,101,"Cancun is known for its beaches, numerous resorts, and nightlife.",Hot,Asia,Coastal,Sports
357,Edinburgh,2/26/2023,2/28/2023,2,Traveler 67 357,47,Female,American,Villa,1108,Flight,1264,"Cape Town, South Africa is a renowned city known for its vibrant culture and rich history.",Rainy,North America,Desert,Cultural
358,Caracas,3/5/2023,3/19/2023,14,Traveler 68 358,49,Female,American,Villa,1061,Train,781,"Auckland, based around 2 large harbours, is a major city in the north of New Zealand’s North Island.",Cold,South America,Urban,Therapeutic
359,Brisbane,3/2/2023,3/7/2023,5,Traveler 69 359,41,Male,Japanese,Hotel,54,Train,623,"Athens, Greece is a renowned city known for its vibrant culture and rich history.",Moisture,Africa,Rural,Recreational
360,Lagos,7/30/2023,8/11/2023,12,Traveler 70 360,58,Female,Chinese,Hotel,74,Bus,1302,Paris is a renowned city known for its vibrant culture and rich history.,Dry,Australia,Archaeological,Religious
361,Marrakech,10/18/2023,10/20/2023,2,Traveler 71 361,46,Male,British,Villa,492,Train,457,"London, the capital of England and the United Kingdom, is a 21st-century city with history stretching back to Roman times.",Hot,Europe,Coastal,Archaeological
362,Helsinki,7/30/2023,8/5/2023,6,Traveler 72 362,57,Male,Chinese,Resort,58,Bus,1189,"Cancun is known for its beaches, numerous resorts, and nightlife.",Rainy,Asia,Desert,Environmental
363,Munich,6/27/2023,7/6/2023,9,Traveler 73 363,52,Female,Japanese,Hotel,867,Car Rental,1405,Australia is a renowned city known for its vibrant culture and rich history.,Cold,North America,Urban,Sports
364,Montreal,3/30/2023,3/31/2023,1,Traveler 74 364,53,Female,Australian,Villa,1674,Flight,785,"Bangkok, Thai is a renowned city known for its vibrant culture and rich history.",Moisture,South America,Rural,Cultural
365,Auckland,10/11/2023,10/13/2023,2,Traveler 75 365,37,Male,British,Hostel,1676,Bus,1237,"Dubai, United Arab Emirates is a renowned city known for its vibrant culture and rich history.",Dry,Africa,Archaeological,Therapeutic
366,Dublin,3/22/2023,4/3/2023,12,Traveler 76 366,52,Male,Japanese,Hotel,1528,Car Rental,1192,Paris is a renowned city known for its vibrant culture and rich history.,Hot,Australia,Coastal,Recreational
367,Karachi,2/7/2023,2/11/2023,4,Traveler 77 367,25,Male,Australian,Villa,652,Bus,1183,"Barcelona, the cosmopolitan capital of Spain’s Catalonia region, is known for its art and architecture.",Rainy,Europe,Desert,Religious
368,Seoul,8/31/2023,9/2/2023,2,Traveler 78 368,63,Male,British,Hostel,927,Train,320,"Cape Town, SA is a renowned city known for its vibrant culture and rich history.",Cold,Asia,Urban,Archaeological
369,Casablanca,9/4/2023,9/5/2023,1,Traveler 79 369,61,Male,Canadian,Resort,1184,Bus,875,"Tokyo, Japan’s busy capital, mixes the ultramodern and the traditional, from neon-lit skyscrapers to historic temples.",Moisture,North America,Rural,Environmental
370,Kingston,10/20/2023,10/24/2023,4,Traveler 80 370,30,Male,Canadian,Hotel,1491,Train,197,"Rome, Italy is a renowned city known for its vibrant culture and rich history.",Dry,South America,Archaeological,Sports
371,Guatemala City,8/5/2023,8/8/2023,3,Traveler 81 371,35,Female,Japanese,Villa,284,Bus,52,"Seoul, South Korea is a renowned city known for its vibrant culture and rich history.",Hot,Africa,Coastal,Cultural
372,Perth,9/28/2023,10/5/2023,7,Traveler 82 372,33,Male,British,Hotel,245,Bus,159,"Rome, Italy is a renowned city known for its vibrant culture and rich history.",Rainy,Australia,Desert,Therapeutic
373,Havana,10/13/2023,10/25/2023,12,Traveler 83 373,32,Female,Canadian,Resort,689,Bus,1384,"Paris, France is a renowned city known for its vibrant culture and rich history.",Cold,Europe,Urban,Recreational
374,Tallinn,10/18/2023,10/31/2023,13,Traveler 84 374,24,Female,Chinese,Hostel,1744,Flight,745,"Barcelona, the cosmopolitan capital of Spain’s Catalonia region, is known for its art and architecture.",Moisture,Asia,Rural,Religious
375,Manila,2/5/2023,2/18/2023,13,Traveler 85 375,30,Male,British,Resort,173,Train,1426,"Phuket is among the world’s finest beach destinations, with fine white sands, nodding palm trees, glittering seas and lively towns.",Dry,North America,Archaeological,Archaeological
376,Santiago,9/10/2023,9/20/2023,10,Traveler 86 376,41,Female,American,Resort,285,Train,421,"Edinburgh, Scotland is a renowned city known for its vibrant culture and rich history.",Hot,South America,Coastal,Environmental
377,Zurich,6/13/2023,6/23/2023,10,Traveler 87 377,27,Male,Canadian,Airbnb,1257,Train,1026,"Bangkok, Thai is a renowned city known for its vibrant culture and rich history.",Rainy,Africa,Desert,Sports
378,Seville,1/5/2023,1/13/2023,8,Traveler 88 378,64,Male,Japanese,Villa,1660,Train,385,"Los Angeles, USA is a renowned city known for its vibrant culture and rich history.",Cold,Australia,Urban,Cultural
379,Tel Aviv,3/15/2023,3/19/2023,4,Traveler 89 379,21,Female,Chinese,Villa,200,Train,1232,Tokyo is a renowned city known for its vibrant culture and rich history.,Moisture,Europe,Rural,Therapeutic
380,Accra,8/22/2023,8/28/2023,6,Traveler 90 380,28,Male,British,Airbnb,1862,Flight,134,"Cape Town, South Africa is a renowned city known for its vibrant culture and rich history.",Dry,Asia,Archaeological,Recreational
381,Adelaide,1/29/2023,2/5/2023,7,Traveler 91 381,38,Male,Japanese,Resort,725,Train,52,"Dubai, United Arab Emirates is a renowned city known for its vibrant culture and rich history.",Hot,North America,Coastal,Religious
